T/K,p/kPa,p Cox / kPa,Delta P / kPa,sigma_i / kPa
453.149,0.0131,0.014,-0.0009,0.0002
463.151,0.0251,0.026,-0.0009,0.0002
473.15,0.046,0.0464,-0.0004,0.0002
483.15,0.079,0.0802,-0.0012,0.0002
493.15,0.1345,0.1346,-0.0001,0.0002
503.15,0.2204,0.2198,-0.0006,0.0002
513.15,0.3517,0.3497,0.002,0.0002
523.151,0.5534,0.5433,0.0101,0.0003
533.149,0.8318,0.8252,0.0066,0.0003
554.455,1.8786,1.8788,-0.0002,0.0001
563.251,2.5742,2.5744,-0.0002,0.0002
570.411,3.2945,3.2943,0.0002,0.0002
575.337,3.8847,3.8845,0.0002,0.0002
